00000069 GARRICK              004 01-30-1847 359 
00000070 NIAGARA              004 02-26-1847 087 
00000081 THETIS               018 02-25-1847 096 
00000112 CLUTHA               006 06-16-1848 183 
00000113 ADONIS               004 06-17-1848 285 
00000114 ARGYLE               046 06-17-1848 244 
00000118 REPUBLIC             004 06-20-1848 241 
00000119 ARETHUSA             053 06-20-1848 121 
00000132 ELIZA                050 06-24-1848 067 
00000146 AGNES                004 06-24-1848 162 
00000147 ISAAC WRIGHT         004 06-22-1848 249 
00000151 MONTREAL             004 06-12-1848 144 
00000152 FANCHION             004 06-12-1848 195 
00000156 LORD BYRON           006 06-12-1848 149 
00000157 CHENAGO              061 06-12-1848 013 
00000159 SAMOSET              004 06-12-1848 107 
00000161 QUEEN                004 06-01-1848 334 
00000162 INFANTA              059 06-01-1848 164 
00000166 SIR JAMES MCDONALD   059 06-09-1848 092 
00000169 GONDAR               004 06-12-1848 205 
00000186 Unknown              045 06-12-1848 016 
00000187 HELENA               035 06-13-1848 130 
00000188 HOTTINGUER           004 06-13-1848 008 
00000189 MILAN                004 06-13-1848 257 
00000192 CALIFORNIA           004 06-14-1848 227 
00000197 EMERALD              003 06-13-1848 069 
00000213 OREGON               004 06-02-1848 257 
00000223 CALEDONIA            003 06-16-1848 275 
00000244 MEMNON               004 06-27-1848 267 
00000252 BRITTANIA OF GLASGOW 004 06-26-1848 004 
00000253 ASHBURTON            004 06-26-1848 263 
00000370 ADAM CARR            006 06-26-1848 021 
00000374 TRITON               059 06-29-1848 266 
00000451 LEONIDAS             004 06-28-1848 260 
00000453 VANDALIA             004 06-29-1848 146 
00000458 E.Z.                 004 06-27-1848 049 
00000472 KATE HOWE            004 06-30-1848 212 
00000473 SOPHIA               050 06-27-1848 075 
00000490 SARAH SANDS          004 06-28-1848 083 
00000493 KING PHILIP          063 06-26-1848 001 
00000503 SULTAN               059 06-29-1848 133 
00000504 W M VAIL             004 06-29-1848 223 
00000509 BRITISH QUEEN        106 06-29-1848 211 
00000511 GRAMPION             018 06-26-1848 274 
00000517 JANE                 004 06-29-1848 206 
00000676 JANET                132 10-10-1848 130 
00000680 ST. LAWRENCE         004 10-09-1848 036 
00000683 ANGENORA            5004 07-10-1848 205 
00000684 ADAM CARR            006 10-10-1848 005 
00000685 HANNAH              7134 07-10-1848 052 
00000686 W A COOPER          4004 07-10-1848 228 
00000687 MADAWASKA           3006 07-10-1848 024 
00000689 BROTHERS             053 07-11-1848 188 
00000690 JOSEPH R PRIM        134 07-11-1848 045 
00000696 WELLINGTON           061 10-12-1848 002 
00000698 SIDDONS              004 07-11-1848 245 
00000702 HARMONY              050 07-18-1848 070 
00000703 SCOTIA               059 10-02-1848 074 
00000704 SARDINIA             004 07-17-1848 211 
00000705 MARTHA J. WARD       004 07-14-1848 135 
00000706 ONEIDA               004 07-14-1848 291 
00000710 PEDRAZA              038 07-19-1848 013 
00000711 ASHLAND              004 07-21-1848 135 
00000714 YORKSHIRE            004 10-28-1848 233 
00000715 ROBERT A PARK        035 07-14-1848 173 
00000716 ARCHIMEDES           106 07-13-1848 116 
00000717 STUART ELPHUSTON     006 07-12-1848 064 
00000718 PHILAH               018 07-21-1848 150 
00000719 MASONIC              004 07-20-1848 111 
00000720 LORD FITZGERALD      035 07-01-1848 052 
00000721 JAMESTOWN            004 07-08-1848 288 
00000727 ELIZA MORRISON       018 07-08-1848 264 
00000735 JANE ANDERSON        046 07-03-1848 124 
00000738 PURSUIT              004 07-03-1848 239 
00000744 Unknown              006 11-06-1848 041 
00000745 LIVERPOOL           1004 07-10-1848 284 
00000769 MARGARET JANE        136 01-12-1846 001 
00000771 EMPIRE               004 01-15-1846 072 
00000772 OXFORD               004 01-16-1846 069 
00000773 ROCHESTER            004 01-16-1846 061 
00000776 CORNELIA             004 01-26-1846 024 
00000777 NEW YORK PACKET      070 01-26-1846 002 
00000779 VIRGINIAN            004 01-29-1846 114 
00000780 HYDER ALI            137 02-02-1846 001 
00000782 COLUMBUS             004 02-02-1846 033 
00000783 WATERLOO             004 02-05-1846 001 
00000784 MUDARA               017 02-07-1846 001 
00000786 ST. GEORGE           004 02-18-1846 067 
00000787 ADAM CARR            006 02-19-1846 001 
00000788 FIDELIA              004 02-23-1846 089 
00000790 GRANDEE              070 03-02-1846 002 
00000791 TORONTO              061 03-04-1846 003 
00000792 MASSACHUSETTS        004 03-05-1846 006 
00000793 HOTTINGUER           004 03-06-1846 020 
00000794 ASHBURTON            004 03-07-1846 071 
00000796 ROSCIUS              004 03-07-1846 067 
00000797 SEA                  004 03-09-1846 003 
00000798 HENDRIK HUDSON       061 03-09-1846 013 
00000799 CENTURION            004 07-11-1848 201 
00000800 EUROPE               004 03-09-1846 055 
00000801 PACIFIC              004 03-09-1846 050 
00000802 NEW YORK             004 03-13-1846 163 
00000804 OHIO                 004 03-13-1846 015 
00000805 PRINCE ALBERT        061 03-13-1846 050 
00000806 LIVERPOOL            004 03-13-1846 270 
00000809 SHAKESPEARE          004 03-14-1846 094 
00000810 JOHN R SKIDDY        004 03-16-1846 196 
00000811 HUDSON               006 03-19-1846 005 
00000812 WESTMINSTER          061 03-24-1846 023 
00000813 SAMUEL HICKS         004 03-24-1846 018 
00000814 HEBE                 004 07-01-1848 178 
00000815 KALAMAZOO            004 03-24-1846 282 
00000817 SHENANDOAH           004 03-27-1846 192 
00000818 ST. PATRICK          004 03-27-1846 349 
00000819 MAGNA CHARTA         059 07-01-1848 133 
00000820 HYNDEFORD            006 07-08-1848 004 
00000821 SIDDONS              004 03-28-1846 348 
00000822 ADELAIDE             017 03-30-1846 001 
