job_name,job_code
ACCOUNTANT,ACCT
ACTOR,AR
ACTUARY,ATR
ADJUSTER,ADJ
ADVENTURER,ADVNTR
ADVOCATE,ADV
AERO NAUT,ANT
AGENT,AGNT
AGIATO,AGT
AGRICULTURER,AGRT
AMBASSADOR,ABSR
ANTIQUE DEALER,ADLR
APOTHECARY,APTC
APPRENDIST or,APDST
AQURATERRUT,AQTUT
ARCHDEACON,ARCHD
ARCHITECT,ACHTT
ARMOURER,AMR
ARMY,AY
ARTISAN,ATSN
ARTIST or,ART
PENCIL,DRAWER
"ARTIST, LYRIC SING",(SIN
ARTISAN,ATSN
ASSISTANT,ASST
"ATff ,ETE",ATH
ATTENDENT,ATTEND
AUCTIONEER,AUC
AUTHOR,AHR
ATTORNEY,ATTNY
BEAD MANUFACTURER,BDMNFTR
B WINDER,BWD
BACKER,BCK
BAGPICKER,BGP
BAGER,BGR
BAKER,BKR
BAILER,BALR
BAILIFF,BALF
BANK CLERK,BAC
BARBER,BBR
BARKEEPER,BRK
BARREL MAKER,CPR
BARRISTER,BAR
(Barman),BTDR
BASKETMAKER,BSKM
BATHER,BTH
BATHER SELLER,BTHS
BATTER,BAT
BEADMAKER,BDMKR
BELLOWS MAKER,BLWMKR
BICYCLE MAKER,BCM
BELL HANGER,BLHGR
BICYCLE RIDER,BCR
BIRD FANCIER,BFCR
BIRD SELLER,BDS
NARA Reference,Copy
BITMAKER,BTM
BLACKSMITH,BLKSMH
BLANKET MAKER,BLNKMR
BLEACHER,BL
BLOCKCUTTER,BLKCTR
BLOCKPRIN'l'ER,BLKP
BLOWER,BLWR
BOATMA.KER,BTMK
BOILERMAKER,BLR
BOATMAN,BOAT
BOARDINGHOUSE KEEPER,BRDKP
BONDSMAN,BDSM
BONNET MAKER,HTR
"BOOKBn""DER",BKBNDR
BOOKKEEPER,BKPR
BOOKMAKER,BKMR
BOOKSELLER,BKSL
BOOTBLACK,BTBLK
BOOTMAKER,BTMKR
BO.OTCLOSER,B~·
BOTANIST,BOTT
BOTSKW,BOT
BOTTLE MAKER,BTLMKR
BON NET BLOCKER,BBLK
BOX MAKER,BXMR
BRAID WEAVER,BDWR
BRASS FINISHER,BRFHR
BRASS FOUNDER,BRF
BRASS,SMITH
BRAZIER,BRZ
BREAD DEALER,BDLR
BREWER,BRR
BRICKERSEI'TER,BRKSTR
BRICKLAYER,BKLYR
BRICKMAKER,BCKM
BROKER,BRKR
BRUSHMAKER,BPJ.1
BUILDER,BLDR
BURGEPJ.1EISTER,MYR
BURGESS,ERG
BUSINESS,BUS
BUSSHER,BSH
BUTCHER,BCHR
BUTLER,BTL
BUTTON FASTENER,BTNF
BUTTON MAKER,BTNM
BUYER,BYR
CABINET MAKER,CBTMKR
CADET,CADT
CALENDER,CALR
CALICO,PRINTER
CANDLE MAKER,CNDL
CANVAS WEAVER,CNWVR
CAPITALIST,CPTLT
CAP MAKER,HTR
CAPTAIN,CPT
CAR BUILDER,CRBLDR
CAR DRIVER,CDR
CAR MAN,CRMN
CARD CUTTER CDC,TR
CARDER,"CADR:"""
CARRIAGE BUILDER/,CBLDR
CARPET MAKER,CRPM
CARPET TRADE,CRTRD
CARPENTER,CPTR
CARRIER,QRYMN
CARVER,CVR
CARVER-GILDER,CVGLD
CAR'J'ER,CRT
CARTWRIGHT,CTW
CASHIER,CSHR
CA. 'S T.. ER,MLDR
CATTLE ATTENDENT,CTLMN
C.A TTLE DEALER •,CTLDLR
CATTLE HERDER,CTLH
CATTLE MEN,CTM
CAULKER,CAK
CELLAR MAN,CLLMN
CHAIN MAKER,CHNMKR
CHAIR MAKER,CHRMKR
CHAMBER MAID,SVNT
CHANDLER,CHND
CHARGER,CGR
CHAPELI ER,HTR
CHASER,CHR
CHASSEUR,CHAS
CHECKER,CKR
CHEESE DEALER,CHD
CHEESE MAKER,CHMAK
CHEESE MANAGER,CHMGR
CHEMICAL MANUFACTURER,CHMMTR
CHEMIST,CMST
CHESS PLAYER,CHP
CH.!!;ST MAKER,CHMKRR
CHIEF FOREMAN,CHFRMN
CHIMNEY CLEANER,CHSWP
CHIMNEY SWEEPER,"CHSWP,"
CIGAR MAKER,CGRMKR
CIGAR TWISTER,CGRTW
CIVIL,CV
CIVIL ENGINEER,CVER
CIVIL SERVICE,CVS
CLERGYMAN/CHURCH,CLGYMN
CLERK,CL
"CLOCK BROKER, MERCHANT",CLKMH
CLOCK MAKER,CLKMKR
CLOGGER,CLG
CLOTH DRAWER,CLD
J CLOTH SHURER,CLSH
