occupation_code,occupation_desc,occupation_code_norm
ABSR,Agrt,ABSR
ACCT,I /' Y1··~,ACCT
ACTOR,Accountant,ACTOR
ADJUSTER,Actuary,ADJUSTER
ADLR,Dealer,ADLR
ADVNTR,Adj,ADVNTR
ADVOCATE,Adventurer,ADVOCATE
AERO,Naut,AERO
AGIATO,Agent,AGIATO
AGNTTH,Agent,AGNTTH
AGT,Agnt,AGT
AHR,Auc,AHR
ALSH,"Cat. 1053, Record Block **Wt2 ~Ridget/ Alshj 1053, Record Block **Ih2 Jane",ALSH
AMR,Arms Of,AMR
ANT,Adv,ANT
ANTIQUE,Agriculturer Ambassador,ANTIQUE
AQTUT,Aptc Apdst Or,AQTUT
ARCHD,•',ARCHD
ARMOURER,Apothecary Apprendist Apprentice Aquraterrut Archdeacon Architect,ARMOURER
ART,Pdlr,ART
ARTISAN,".,:. Artist,",ARTISAN
ARTIST,Draftsman/Drau..G Dramatic/Drai-1Atic,ARTIST
ASST,Atsn,ASST
ATR,Ar,ATR
ATSN,Ay,ATSN
ATTEND,Ath,ATTEND
AUTHOR,"/ ,.,,;­ Vi ':'7 Auctioneer",AUTHOR
AY,(Army),AY
BACKER,Winder B,BACKER
BAGER,Bagpicker,BAGER
BAILER,Baker,BAILER
BALF,Balr,BALF
BANK,Bailiff Clerk,BANK
BARBER,Banker,BARBER
BARREL,Barkeeper,BARREL
BATHER,Barrister ~Artender Basketmaker,BATHER
BATTER,Bather,BATTER
BBR,Bac Mnrn,BBR
BCKM,Bklyr,BCKM
BDLR,Brz,BDLR
BDMKR,Bat,BDMKR
BDSM,Brdkp,BDSM
BEAD,Manufacturer,BEAD
BELL,Bicycle,BELL
BELLOWS,Beadmaker,BELLOWS
BGP,Bck,BGP
BILEN,Bicycle -.;:.,BILEN
BIRD,Birdman,BIRD
BITMAKER,...,BITMAKER
BKBNDR,Htr,BKBNDR
BKMR,Bkpr,BKMR
BKR,Mp Maker,BKR
BL,Blnkmr,BL
BLANKET,Blacksmith Maker,BLANKET
BLDR,Brkr Bpj.1,BLDR
BLKP,Blkctr,BLKP
BLKSMH,Btm,BLKSMH
BLOCK,"I \Bridget 1053, Record",BLOCK
BLOWER,Bleacher Blockcutter Blockprin'L'Er,BLOWER
BND,Bln,BND
BOAT,Blr,BOAT
BOATMAN,Boatma.Ker Boilermaker,BOATMAN
BON,Blocker Net,BON
BONDSMAN,Keeper Boardinghouse,BONDSMAN
BONNET,Maker,BONNET
BOTANIST,"Bookbn""Der Bookkeeper Bookmaker Bookseller Bootblack Bootmaker Bo.Otcloser",BOTANIST
BOTT,Btmkr B~·,BOTT
BOTTLE,Botskw Maker,BOTTLE
BOX,Maker,BOX
BRAID,Weaver,BRAID
BRASS,Finisher,BRASS
BREAD,Brazier,BREAD
BRFHR,Bdwr,BRFHR
BRKSTR,Brr,BRKSTR
BROKER,Brewer Brickersei'Ter Bricklayer Brickmaker,BROKER
BRSSMH,Brf,BRSSMH
BSH,Bus,BSH
BSKM,Bar Btdr (Barman),BSKM
BTBLK,Bksl,BTBLK
BTL,Bchr,BTL
BTLMKR,Bot,BTLMKR
BTMK,Blwr,BTMK
BTNM,Btnf,BTNM
BTNMP,Worker,BTNMP
BUILDER,Captain Car,BUILDER
BURGESS,Burgepj.1Eister,BURGESS
BUSSHER,Business,BUSSHER
BUTLER,Butcher,BUTLER
BUTTON,Button,BUTTON
BWD,Bdmnftr,BWD
