port_code,port_name
0,UNKNOWN
2,MARSEILLES
3,LONDONDERRY
4,LIVERPOOL
5,QUEENSTOWN
6,GLASGOW
16,HAVRE
17,HAVANA
18,BELFAST
20,LEGHORN
24,MESSINA
26,CADIZ
31,CANTON
34,CARDENAS
35,GALWAY
36,LAGUNA
38,"NASSAU, BAHAMA"
39,BARACOA
41,PONCE
42,RIO DE JANEIRO
45,NEWFOUNDLAND
46,CORK
47,DEMERARA
48,ST. CROIX
49,ST. THOMAS
50,WATERFORD
52,BRISTOL
53,NEWRY
57,MATANZAS
58,TRINIDAD DE CUBA
59,DUBLIN
60,BERMUDA
61,LONDON
63,SANTIAGO
67,"ST. JOHNS, CANADA"
68,SANTIAGO
70,HALIFAX
71,KINGSTON
72,TURKS ISLAND
74,MONTEVIDEO
84,"FIUME, GIBRALTAR, NAPLES, PALERMO"
94,BREMEN & SOUTHAMPTON
99,UNKNOWN
100,DUNKIRK
102,TAMPICO
106,SLIGO
112,CARDIFF
116,WINDSOR
122,PORT AU PRINCE
123,"ST. JOHNS, PUERTO RICO"
125,LIVERPOOL & LONDONDERRY
127,"MAYAGUEZ,"
132,DROGHEDA
134,LIMERICK
136,"SYDNEY, CAPE BRETON"
137,"BLACK RIVER, JAMAICA"
140,VERA CRUZ
142,ST. VINCENTS
144,ELEUTHERA
145,"FALMOUTH, JAMAICA"
147,"ST. JOHNS, NEWFOUNDLAND"
148,"PICTOU, NOVA SCOTIA"
149,"NEWPORT, WALES"
151,FAYAL
152,TORQUAY
154,"VALPARAISO,"
155,BELIZE
156,PRINCE EDWARD ISLAND
157,ELEUTHERA & NASSAU
158,TRALEE
159,MADEIRA
162,"YARMOUTH, NOVA SCOTIA"
163,SAGUA LA GRANDE
165,KILRUSH
166,NEW ROSS
167,SAVANILLLA
170,MARAHAM
171,NEWCASTLE
173,GREENOCK
176,YOUGHAL
177,"CARBONEAR, NEWFOUNDLAND"
179,SANTO DOMINGO
180,"ST. ANN'S BAY, JAMAICA"
181,"ST. JOHNS, NEWFOUNDLAND"
182,GIBRALTAR & MALAGA
183,PENZANCE
184,OPORTO
185,CALAIS
187,DONEGAL
188,HALIFAX & LIVERPOOL
190,"ARICHAT, NOVA SCOTIA"
191,GLASGOW & GREENOCK
193,FALMOUTH
194,CORK & LIVERPOOL
195,"CHAGRAS, SAN JUAN & HAVANA"
196,CURACAO
197,MADEIRA & ST. THOMAS
198,"HAMILTON, BERMUDA"
199,ST. MARTINS
200,CARTAGENA
201,BUENOS AIRES
203,HAVRE & SOUTHAMPTON
205,LONDON & PORTSMOUTH
207,GALWAY & LIVERPOOL
215,SAN JUAN DE LOS REMEDIOS
229,CHAGRES & HAVANA
230,HAITI
231,TALMOUTH
232,WEXFORD
235,"CARNAVON, WALES"
241,JERSEY
242,SUNDERLAND
243,HARTLEPOOL
244,LANZAROTE
246,KILLIBEGS
247,BERMUDA & ST. THOMAS
250,BERBICE
251,TORTOLA
252,LONDON & PLYMOUTH
253,TOBAGO
254,PORTSMOUTH
255,FORTUNE ISLAND
256,CHAGRES & JAMAICA
257,DEMERARA & ST. THOMAS
259,CORK & GLASGOW
261,ST. KITES
268,CHAGRES & JAMAICA
270,CHAGRES & KINGSTON
273,CARDIFF & CORK
279,"DUBLIN, GALWAY & HALIFAX"
283,DUBLIN & LIVERPOOL
284,"CHARLOTTETOWN, PRINCE EDWARD ISLAND"
292,WESTPORT
296,LIMERICK & LIVERPOOL
